computer,chip,url
PET, rom-2-c000.901447-09, http://www.zimmers.net/anonftp/pub/cbm/firmware/computers/pet/rom-2-c000.901447-09.bin
PET, rom-3-c000.901439-13, http://www.zimmers.net/anonftp/pub/cbm/firmware/computers/pet/rom-3-c000.901439-13.bin
PET, rom-3-c000.901447-20, http://www.zimmers.net/anonftp/pub/cbm/firmware/computers/pet/rom-3-c000.901447-20.bin
PET, rom-3-c800.901439-14, http://www.zimmers.net/anonftp/pub/cbm/firmware/computers/pet/rom-3-c800.901439-14.bin
PET, rom-3-c800.901447-21, http://www.zimmers.net/anonftp/pub/cbm/firmware/computers/pet/rom-3-c800.901447-21.bin
PET, rom-3-d000.901439-15, http://www.zimmers.net/anonftp/pub/cbm/firmware/computers/pet/rom-3-d000.901439-15.bin
PET, rom-3-d000.901447-22, http://www.zimmers.net/anonftp/pub/cbm/firmware/computers/pet/rom-3-d000.901447-22.bin
PET, rom-3-d800.901439-16, http://www.zimmers.net/anonftp/pub/cbm/firmware/computers/pet/rom-3-d800.901439-16.bin
PET, rom-3-d800.901447-23, http://www.zimmers.net/anonftp/pub/cbm/firmware/computers/pet/rom-3-d800.901447-23.bin
PET, rom-3-e000.901439-17, http://www.zimmers.net/anonftp/pub/cbm/firmware/computers/pet/rom-3-e000.901439-17.bin
PET, rom-3-e000.901447-24, http://www.zimmers.net/anonftp/pub/cbm/firmware/computers/pet/rom-3-e000.901447-24.bin
PET, rom-3-f000.901439-18, http://www.zimmers.net/anonftp/pub/cbm/firmware/computers/pet/rom-3-f000.901439-18.bin
PET, rom-3-f000.901447-25, http://www.zimmers.net/anonftp/pub/cbm/firmware/computers/pet/rom-3-f000.901447-25.bin
PET, rom-3-f800.901439-19, http://www.zimmers.net/anonftp/pub/cbm/firmware/computers/pet/rom-3-f800.901439-19.bin
PET, rom-3-f800.901447-26, http://www.zimmers.net/anonftp/pub/cbm/firmware/computers/pet/rom-3-f800.901447-26.bin
